"id","name","approve_year","approve_no","approve_region","suitable_region","culti_type","sub_type","maturity","control_variety","growth_days","compare_days","rice_code"
1,黄广农占,2022,国审稻20220001,华南感光晚籼类型区,广东省（粤北稻作区除外）、广西桂南、海南省、福建省南部的双季稻白叶枯病轻发区,5,9,13,天优华占,126.90,4.10,ZLDZ-03-早稻
2,深优296,2022,国审稻20220002,华南感光晚籼类型区,广东省（粤北稻作区除外）、广西桂南、海南省、福建省南部的双季稻白叶枯病轻发区,5,9,13,天优华占,124.00,1.60,ZLDZ-03-早稻
3,香龙优520,2022,国审稻20220003,华南感光晚籼类型区,广东省（粤北稻作区除外）、广西桂南、海南省、福建省南部的双季稻白叶枯病轻发区,5,9,13,天优华占,126.80,4.00,ZLDZ-03-早稻
4,香龙优176,2022,国审稻20220004,华南感光晚籼类型区,广东省（粤北稻作区除外）、广西桂南、海南省、福建省南部的双季稻稻瘟病及白叶枯病轻发区,5,9,13,天优华占,126.90,3.90,ZLDZ-03-早稻
5,启两优2216,2022,国审稻20220005,长江中下游双季早籼迟熟类型区,江西省中南部、湖南省中南部、广西桂北、福建省北部、浙江省中南部的双季稻区,5,9,16,陆两优996,113.30,1.20,ZLDZ-02-早稻
6,川优8611,2022,国审稻20220006,长江上游中籼迟熟类型区,四川省平坝丘陵稻区、贵州省（武陵山区除外）、云南省的中低海拔籼稻区、重庆市（武陵山区除外）海拔800米以下地区、陕西省南部稻区的稻瘟病轻发区,7,9,16,F优498,155.10,2.00,ZLDZ-15-中稻
7,川种优6099,2022,国审稻20220007,长江上游中籼迟熟类型区,四川省平坝丘陵稻区、贵州省（武陵山区除外）、云南省的中低海拔籼稻区、重庆市（武陵山区除外）海拔800米以下地区、陕西省南部稻区的稻瘟病轻发区,7,9,16,F优498,155.40,2.80,ZLDZ-15-中稻
8,宜香优586,2022,国审稻20220008,长江上游中籼迟熟类型区,四川省平坝丘陵稻区、贵州省（武陵山区除外）、云南省的中低海拔籼稻区、重庆市（武陵山区除外）海拔800米以下地区、陕西省南部稻区的稻瘟病轻发区,7,9,16,F优498,154.20,1.10,ZLDZ-15-中稻
9,溢优5466,2022,国审稻20220009,长江上游中籼迟熟类型区,四川省平坝丘陵稻区、贵州省（武陵山区除外）、云南省的中低海拔籼稻区、重庆市（武陵山区除外）海拔800米以下地区、陕西省南部稻区的稻瘟病轻发区,7,9,16,F优498,154.70,1.90,ZLDZ-15-中稻
10,臻两优5438,2022,国审稻20220010,武陵山区中籼类型区,贵州、湖南、湖北、重庆四省（市）所辖的武陵山区海拔800米以下稻区,7,9,13,瑞优399,149.80,1.60,ZLDZ-17-中稻
11,九优83,2022,国审稻20220011,武陵山区中籼类型区,贵州、湖南、湖北、重庆四省（市）所辖的武陵山区海拔800米以下稻区,7,9,13,瑞优399,143.70,5.00,ZLDZ-17-中稻
12,禾两优676,2022,国审稻20220012,长江中下游中籼迟熟类型区,湖北省（武陵山区除外）、湖南省（武陵山区除外）、江西省、安徽省、江苏省的长江流域稻区以及浙江省中稻区、福建省北部稻区、河南省南部稻区,7,9,16,丰两优四号,134.60,4.70,ZLDZ-16-中稻
13,两优7002,2022,国审稻20220013,长江中下游中籼迟熟类型区,湖北省（武陵山区除外）、湖南省（武陵山区除外）、江西省、安徽省、江苏省的长江流域稻区以及浙江省中稻区、福建省北部稻区、河南省南部稻瘟病轻发区,7,9,16,丰两优四号,131.10,3.50,ZLDZ-16-中稻
14,民两优丝苗,2022,国审稻20220014,长江中下游中籼迟熟类型区,湖北省（武陵山区除外）、湖南省（武陵山区除外）、江西省、安徽省、江苏省的长江流域稻区以及浙江省中稻区、福建省北部稻区、河南省南部稻区的稻瘟病轻发区,7,9,16,丰两优四号,136.70,1.80,ZLDZ-16-中稻
15,青香优19香,2022,国审稻20220015,长江中下游中籼迟熟类型区,湖北省（武陵山区除外）、湖南省（武陵山区除外）、江西省、安徽省、江苏省的长江流域稻区以及浙江省中稻区、福建省北部稻区、河南省南部稻区的稻瘟病轻发区,7,9,16,丰两优四号,133.10,1.50,ZLDZ-16-中稻
16,荃广优836,2022,国审稻20220016,长江中下游中籼迟熟类型区,湖北省（武陵山区除外）、湖南省（武陵山区除外）、江西省、安徽省、江苏省的长江流域稻区以及浙江省中稻区、福建省北部稻区、河南省南部稻区的稻瘟病轻病区,7,9,16,丰两优四号,129.10,5.90,ZLDZ-16-中稻
17,深两优858,2022,国审稻20220017,长江中下游中籼迟熟类型区,湖北省（武陵山区除外）、湖南省（武陵山区除外）、江西省、安徽省、江苏省的长江流域稻区以及浙江省中稻区、福建省北部稻区、河南省南部稻区,7,9,16,丰两优四号,137.20,2.00,ZLDZ-16-中稻
18,信两优9328,2022,国审稻20220018,长江中下游中籼迟熟类型区,湖北省（武陵山区除外）、湖南省（武陵山区除外）、江西省、安徽省、江苏省的长江流域稻区以及浙江省中稻区、福建省北部稻区、河南省南部稻区的稻瘟病轻发区,7,9,16,丰两优四号,136.70,1.80,ZLDZ-16-中稻
19,臻两优5281,2022,国审稻20220019,长江中下游中籼迟熟类型区,湖北省（武陵山区除外）、湖南省（武陵山区除外）、江西省、安徽省、江苏省的长江流域稻区以及浙江省中稻区、福建省北部稻区、河南省南部稻区,7,9,16,丰两优四号,137.20,2.30,ZLDZ-16-中稻
20,圳两优575,2022,国审稻20220020,长江中下游中籼迟熟类型区,湖北省（武陵山区除外）、湖南省（武陵山区除外）、江西省、安徽省、江苏省的长江流域稻区以及浙江省中稻区、福建省北部稻区、河南省南部稻区,7,9,16,丰两优四号,136.00,1.00,ZLDZ-16-中稻
21,筑优110,2022,国审稻20220021,长江中下游中籼迟熟类型区,湖北省（武陵山区除外）、湖南省（武陵山区除外）、江西省、安徽省、江苏省的长江流域稻区以及浙江省中稻区、福建省北部稻区、河南省南部稻区,7,9,16,丰两优四号,132.90,0.80,ZLDZ-16-中稻
22,筑优110,2022,国审稻20220021,华南感光晚籼类型区,广东省（粤北稻作区除外）、广西桂南、海南省、福建省南部,4,9,13,吉丰优1002,118.70,0.80,ZLDZ-08-双季晚稻
23,赣丝占,2022,国审稻20220022,长江中下游双季早籼早中熟类型区,湖北省（武陵山区除外）、安徽省和河南省籼稻区的稻瘟病轻发区,6,9,13,五优308,125.00,1.00,ZLDZ-32-一季晚稻
24,隆晶优4013,2022,国审稻20220023,长江中下游双季早籼早中熟类型区,湖北省（武陵山区除外）、安徽省和河南省的籼稻区,6,9,13,五优308,125.60,0.60,ZLDZ-32-一季晚稻
25,华盛优21丝苗,2022,国审稻20220024,长江中下游双季晚籼早熟类型区,江西省、湖南省、湖北省、安徽省、浙江省的双季稻区的稻瘟病轻发区,4,9,12,五优308,120.40,2.10,ZLDZ-06-双季晚稻
26,晖两优1377,2022,国审稻20220025,长江中下游双季晚籼早熟类型区,江西省、湖南省、湖北省、安徽省、浙江省的双季稻的稻瘟病轻发区,4,9,12,五优308,118.50,4.20,ZLDZ-06-双季晚稻
27,健优银丝苗,2022,国审稻20220026,长江中下游双季晚籼早熟类型区,江西省、湖南省、湖北省、安徽省、浙江省双季稻区的稻瘟病轻发区,4,9,12,五优308,114.50,3.90,ZLDZ-06-双季晚稻
28,启两优1011,2022,国审稻20220027,长江中下游双季晚籼早熟类型区,江西省、湖南省、湖北省、安徽省、浙江省的双季稻区的稻瘟病轻发区,4,9,12,五优308,114.50,3.90,ZLDZ-06-双季晚稻
29,启两优5410,2022,国审稻20220028,长江中下游双季晚籼早熟类型区,江西省、湖南省、湖北省、安徽省、浙江省的双季稻区的稻瘟病轻发区,4,9,12,五优308,119.20,3.50,ZLDZ-06-双季晚稻
30,荃早优晶占,2022,国审稻20220029,长江中下游双季晚籼早熟类型区,江西省、湖南省、湖北省、安徽省、浙江省的双季稻区的稻瘟病轻发区,4,9,12,五优308,116.40,2.00,ZLDZ-06-双季晚稻
31,欣两优晚一号,2022,国审稻20220030,长江中下游双季晚籼早熟类型区,江西省、湖南省、湖北省、安徽省、浙江省的双季稻区的稻瘟病轻发区,4,9,12,五优308,114.70,3.70,ZLDZ-06-双季晚稻
32,荆两优3367,2022,国审稻20220031,长江中下游双季晚籼中迟熟类型区,江西省中南部、湖南省中南部、广西桂中北、广东省粤北稻作区、福建省中北部、浙江省中南部的双季稻区的稻瘟病轻发区,4,9,14,天优华占,121.00,1.50,ZLDZ-07-双季晚稻
33,荃广优822,2022,国审稻20220032,长江中下游双季晚籼中迟熟类型区,江西中南部、湖南中南部、广西桂中北、广东省粤北稻作区、福建中北部、浙江中南部的双季稻区的稻瘟病轻发区,4,9,14,天优华占,123.40,0.90,ZLDZ-07-双季晚稻
34,淮稻28,2022,国审稻20220033,华北中粳中熟类型区（黄淮海粳稻）,河南沿黄及信阳地区、山东南部、江苏淮北、安徽沿淮及淮北地区,7,10,13,徐稻3号,153.30,0.70,ZLDZ-25-北方粳稻
35,京粳6号,2022,国审稻20220034,华北中粳中熟类型区（黄淮海粳稻）,河南沿黄及信阳地区、山东南部、江苏淮北、安徽沿淮及淮北地区的稻瘟病轻发区,7,10,13,徐稻3号,149.20,4.30,ZLDZ-25-北方粳稻
36,新科稻58,2022,国审稻20220035,华北中粳中熟类型区（黄淮海粳稻）,河南沿黄及信阳地区、山东南部、江苏淮北、安徽沿淮及淮北地区,7,10,13,徐稻3号,154.00,0.50,ZLDZ-25-北方粳稻
37,北0619,2022,国审稻20220036,东北早粳中熟类型区,黑龙江省第二积温带上限，吉林省中熟稻区，内蒙古兴安盟中南部,7,10,13,龙稻20,150.00,1.10,ZLDZ-30-北方粳稻
38,鸿源12,2022,国审稻20220037,东北早粳中熟类型区,黑龙江省第二积温带上限、吉林省早熟稻区、内蒙古兴安盟中南部稻瘟病轻发区,7,10,13,龙稻20,150.20,0.90,ZLDZ-30-北方粳稻
39,鸿源13,2022,国审稻20220038,东北早粳中熟类型区,黑龙江省第二积温带上限、吉林省早熟稻区、内蒙古兴安盟中南部地区,7,10,13,龙稻20,150.50,2.90,ZLDZ-30-北方粳稻
40,吉大177,2022,国审稻20220039,东北早粳中熟类型区,黑龙江省第二积温带上限、吉林省早熟稻区、内蒙古兴安盟中南部稻瘟病轻发区,7,10,13,龙稻20,146.20,1.00,ZLDZ-30-北方粳稻
41,绥粳136,2022,国审稻20220040,东北早粳中熟类型区,黑龙江省第二积温带上限、吉林省早熟稻区、内蒙古兴安盟中南部稻瘟病轻发区,7,10,13,龙稻20,144.80,2.80,ZLDZ-30-北方粳稻
42,通育271,2022,国审稻20220041,北方早粳晚熟类型区,黑龙江省第一积温带上限、吉林省中熟稻区、辽宁省东北部、宁夏引黄灌区以及内蒙古赤峰地区,7,10,16,吉玉粳,149.00,2.90,ZLDZ-27-北方粳稻
43,京粳9号,2022,国审稻20220042,北方中早粳晚熟类型区,辽宁省南部稻区、河北省冀东、北京市、天津市、新疆南疆稻区,7,10,16,津原85,160.30,2.60,ZLDZ-39-其他
44,辽丹67优89,2022,国审稻20220043,北方中早粳晚熟类型区,辽宁省南部稻区、河北省冀东、北京市、天津市、新疆南疆稻区的稻瘟病轻发区,7,10,16,津原85,159.30,1.60,ZLDZ-39-其他
45,金粳521,2022,国审稻20220044,华北中粳早熟类型区,北京、天津、山东东营、河北冀东及中北部一季春稻区的稻瘟病轻发区,7,10,13,津原45,170.60,2.40,ZLDZ-26-北方粳稻
46,华浙优261,2022,国审稻20220045,华南感光晚籼类型区,广东省（粤北稻作区除外）、广西桂南、海南省、福建省南部的双季稻白叶枯病轻发区,5,9,13,天优华占,123.00,1.00,ZLDZ-03-早稻
47,青香优261,2022,国审稻20220046,华南感光晚籼类型区,广东省（粤北稻作区除外）、广西桂南、海南省、福建省南部的双季稻区的稻瘟病及白叶枯病轻发区,5,9,13,天优华占,122.70,1.50,ZLDZ-03-早稻
48,扬泰优1521,2022,国审稻20220047,华南感光晚籼类型区,广东省（粤北稻作区除外）、广西桂南、海南省、福建省南部的双季稻区的稻瘟病及白叶枯病轻发区,5,9,13,天优华占,120.90,1.70,ZLDZ-03-早稻
49,元两优6328,2022,国审稻20220048,华南感光晚籼类型区,广东省（粤北稻作区除外）、广西桂南、海南省、福建省南部的双季稻区的白叶枯病轻发区,5,9,13,天优华占,124.80,6.00,ZLDZ-03-早稻
50,金早香1号,2022,国审稻20220049,长江中下游双季早籼早中熟类型区,江西省、湖南省、湖北省、安徽省、浙江省双季稻区的稻瘟病轻发区,5,9,13,中早35,113.30,0.80,ZLDZ-01-早稻
51,中早67,2022,国审稻20220050,长江中下游双季早籼早中熟类型区,江西省、湖南省、湖北省、安徽省、浙江省的双季稻区的稻瘟病轻发区,5,9,13,中早35,114.20,0.00,ZLDZ-01-早稻
52,中早77,2022,国审稻20220051,长江中下游双季早籼早中熟类型区,江西省、湖南省、湖北省、安徽省、浙江省的双季稻区的稻瘟病轻发区,5,9,13,中早35,112.40,0.60,ZLDZ-01-早稻
53,F两优658,2022,国审稻20220052,长江上游中籼迟熟类型区,四川省平坝丘陵稻区、贵州省（武陵山区除外）、云南省的中低海拔籼稻区、重庆市（武陵山区除外）海拔800米以下地区、陕西省南部稻区的稻瘟病轻发区,7,9,16,F优498,156.80,1.50,ZLDZ-15-中稻
54,百香优纳丝,2022,国审稻20220053,长江上游中籼迟熟类型区,四川省平坝丘陵稻区、贵州省（武陵山区除外）、云南省的中低海拔籼稻区、重庆市（武陵山区除外）海拔800米以下地区、陕西省南部稻瘟病轻发区,7,9,16,F优498,150.30,2.70,ZLDZ-15-中稻
55,川8优1778,2022,国审稻20220054,长江上游中籼迟熟类型区,四川省平坝丘陵稻区、贵州省（武陵山区除外）、云南省的中低海拔籼稻区、重庆市（武陵山区除外）海拔800米以下地区、陕西省南部稻区的稻瘟病轻发区,7,9,16,F优498,152.40,3.40,ZLDZ-15-中稻
56,川康优618,2022,国审稻20220055,长江上游中籼迟熟类型区,四川省平坝丘陵稻区、贵州省（武陵山区除外）、云南省的中低海拔籼稻区、重庆市（武陵山区除外）海拔800米以下地区、陕西省南部稻区的稻瘟病轻发区,7,9,16,F优498,150.90,1.10,ZLDZ-15-中稻
57,川康优皇占,2022,国审稻20220056,长江上游中籼迟熟类型区,四川省平坝丘陵稻区、贵州省（武陵山区除外）、云南省的中低海拔籼稻区、重庆市（武陵山区除外）海拔800米以下地区、陕西省南部稻区的稻瘟病轻发区,7,9,16,F优498,156.60,1.30,ZLDZ-15-中稻
58,川两优715,2022,国审稻20220057,长江上游中籼迟熟类型区,四川省平坝丘陵稻区、贵州省（武陵山区除外）、云南省的中低海拔籼稻区、重庆市（武陵山区除外）海拔800米以下地区、陕西省南部稻区的稻瘟病轻发区,7,9,16,F优498,153.30,4.80,ZLDZ-15-中稻
59,川优616,2022,国审稻20220058,长江上游中籼迟熟类型区,四川省平坝丘陵稻区、贵州省（武陵山区除外）、云南省的中低海拔籼稻区、重庆市（武陵山区除外）海拔800米以下地区、陕西省南部稻区的稻瘟病轻发区,7,9,16,F优498,155.80,1.30,ZLDZ-15-中稻
60,川优617,2022,国审稻20220059,长江上游中籼迟熟类型区,四川省平坝丘陵稻区、贵州省（武陵山区除外）、云南省的中低海拔籼稻区、重庆市（武陵山区除外）海拔800米以下地区、陕西省南部稻区的稻瘟病轻发区,7,9,16,F优498,156.60,2.20,ZLDZ-15-中稻
61,桂香优新华粘,2022,国审稻20220060,长江上游中籼迟熟类型区,四川省平坝丘陵稻区、贵州省（武陵山区除外）、云南省的中低海拔籼稻区、重庆市（武陵山区除外）海拔800米以下地区、陕西省南部稻区的稻瘟病轻发区,7,9,16,F优498,154.90,3.60,ZLDZ-15-中稻
62,华优钰禾,2022,国审稻20220061,长江上游中籼迟熟类型区,四川省平坝丘陵稻区、贵州省（武陵山区除外）、云南省的中低海拔籼稻区、重庆市（武陵山区除外）海拔800米以下地区、陕西省南部稻区的稻瘟病轻发区,7,9,16,F优498,155.20,2.40,ZLDZ-15-中稻
63,华浙优210,2022,国审稻20220062,长江上游中籼迟熟类型区,四川省平坝丘陵稻区、贵州省（武陵山区除外）、云南省的中低海拔籼稻区、重庆市（武陵山区除外）海拔800米以下地区、陕西省南部稻区的稻瘟病轻发区,7,9,16,F优498,153.10,0.90,ZLDZ-15-中稻
64,徽优588,2022,国审稻20220063,长江上游中籼迟熟类型区,四川省平坝丘陵稻区、贵州省（武陵山区除外）、云南省的中低海拔籼稻区、重庆市（武陵山区除外）海拔800米以下地区、陕西省南部稻区的稻瘟病轻发区,7,9,16,F优498,152.00,0.70,ZLDZ-15-中稻
65,荟丰优6523,2022,国审稻20220064,长江上游中籼迟熟类型区,四川省平坝丘陵稻区、贵州省（武陵山区除外）、云南省的中低海拔籼稻区、重庆市（武陵山区除外）海拔800米以下地区、陕西省南部稻区的稻瘟病轻发区,7,9,16,F优498,150.10,1.60,ZLDZ-15-中稻
66,金龙优573,2022,国审稻20220065,长江上游中籼迟熟类型区,四川省平坝丘陵稻区、贵州省（武陵山区除外）、云南省的中低海拔籼稻区、重庆市（武陵山区除外）海拔800米以下地区、陕西省南部稻区的稻瘟病轻发区,7,9,16,F优498,153.80,2.40,ZLDZ-15-中稻
67,锦城优470,2022,国审稻20220066,长江上游中籼迟熟类型区,四川省平坝丘陵稻区、贵州省（武陵山区除外）、云南省的中低海拔籼稻区、重庆市（武陵山区除外）海拔800米以下地区、陕西省南部稻区的稻瘟病轻发区,7,9,16,F优498,149.10,0.70,ZLDZ-15-中稻
68,美香两优晶丝,2022,国审稻20220067,长江上游中籼迟熟类型区,四川省平坝丘陵稻区、贵州省（武陵山区除外）、云南省的中低海拔籼稻区、重庆市（武陵山区除外）海拔800米以下地区、陕西省南部稻区的稻瘟病轻发区,7,9,16,F优498,152.00,0.20,ZLDZ-15-中稻
69,美香两优晶丝,2022,国审稻20220067,长江中下游中籼迟熟类型区,湖北省（武陵山区除外）、湖南省（武陵山区除外）、江西省、安徽省、江苏省的长江流域稻区以及浙江省中稻区、福建省北部稻区、河南省南部稻区的稻瘟病轻发区,7,9,16,丰两优四号,128.00,3.10,ZLDZ-16-中稻
70,内香优577,2022,国审稻20220068,长江上游中籼迟熟类型区,四川省平坝丘陵稻区、贵州省（武陵山区除外）、云南省的中低海拔籼稻区、重庆市（武陵山区除外）海拔800米以下地区、陕西省南部稻区的稻瘟病轻发区,7,9,16,F优498,150.70,1.40,ZLDZ-15-中稻
71,鹏优5627,2022,国审稻20220069,长江上游中籼迟熟类型区,四川省平坝丘陵稻区、贵州省（武陵山区除外）、云南省的中低海拔籼稻区、重庆市（武陵山区除外）海拔800米以下地区、陕西省南部稻区的稻瘟病轻发区,7,9,16,F优498,156.30,3.00,ZLDZ-15-中稻
72,品香优润丝,2022,国审稻20220070,长江上游中籼迟熟类型区,四川省平坝丘陵稻区、贵州省（武陵山区除外）、云南省的中低海拔籼稻区、重庆市（武陵山区除外）海拔800米以下地区、陕西省南部稻区的稻瘟病轻发区,7,9,16,F优498,155.00,3.20,ZLDZ-15-中稻
3284,丹旱稻2号,2004,国审稻2004060,北方中早粳晚熟类型区,辽宁省中南部以及京、天津、唐地区旱,7,10,14,旱72,153.70,10.00,ZLDZ-29-北方粳稻
73,奇两优郁香,2022,国审稻20220071,长江上游中籼迟熟类型区,四川省平坝丘陵稻区、贵州省（武陵山区除外）、云南省的中低海拔籼稻区、重庆市（武陵山区除外）海拔800米以下地区、陕西省南部稻区的稻瘟病轻发区,7,9,16,F优498,152.80,0.80,ZLDZ-15-中稻
74,巧两优丝苗,2022,国审稻20220072,长江上游中籼迟熟类型区,四川省平坝丘陵稻区、贵州省（武陵山区除外）、云南省的中低海拔籼稻区、重庆市（武陵山区除外）海拔800米以下地区、陕西省南部稻区,7,9,16,F优498,158.10,3.60,ZLDZ-15-中稻
