"id","code","code_name","category","is_active"
1,1,直播,sowingmtd,true
2,2,抛秧,sowingmtd,true
3,3,插秧,sowingmtd,true
4,4,双季晚稻,culti_type,true
5,5,早稻,culti_type,true
6,6,一季晚稻,culti_type,true
7,7,中稻,culti_type,true
8,8,再生稻,culti_type,true
9,9,籼,sub_type,true
10,10,粳,sub_type,true
11,11,籼粳交,sub_type,true
12,12,早熟,maturity,true
13,13,中熟,maturity,true
14,14,中迟熟,maturity,true
15,15,早中熟,maturity,true
16,16,迟熟,maturity,true
17,17,-,maturity,true
18,18,播种,farmworks,true
19,19,浸种,farmworks,true
20,20,催芽,farmworks,true
21,21,暗化,farmworks,true
22,22,摆盘,farmworks,true
23,23,秧田制作,farmworks,true
24,24,苗期[病虫害管理],farmworks,true
25,25,苗期[送嫁肥/药],farmworks,true
26,26,早整地,farmworks,true
27,27,泡田,farmworks,true
28,28,水整地,farmworks,true
29,29,补苗,farmworks,true
30,30,封行药,farmworks,true
31,31,齐穗期用药,farmworks,true
32,32,灌浆期[病虫害防治],farmworks,true
33,33,苗期[水分管理],farmworks,true
34,34,移裁[水分管理],farmworks,true
35,35,返青分蘖期[水分管理],farmworks,true
36,36,拔节孕穗期[水分管理],farmworks,true
37,37,抽穗扬花期[水分管理],farmworks,true
38,38,灌浆期[水分管理],farmworks,true
39,39,炼苗,farmworks,true
40,40,旋耕翻地,farmworks,true
41,41,旋耕整地,farmworks,true
42,42,送嫁肥,farmworks,true
43,43,施基肥,farmworks,true
44,44,封闭除草,farmworks,true
45,45,移栽,farmworks,true
46,46,施蘖肥,farmworks,true
47,47,封杀除草,farmworks,true
48,48,晒田,farmworks,true
49,49,施穗肥,farmworks,true
50,50,破口药,farmworks,true
51,51,茎叶除草,farmworks,true
52,52,收割前晒田,farmworks,true
53,53,收割,farmworks,true
54,54,施促芽肥,farmworks,true
55,55,施发苗肥,farmworks,true
56,56,再生季晒田,farmworks,true
57,57,再生季收割,farmworks,true
58,58,中熟偏迟,maturity,true
59,59,三叶一心,growth_stage,true
60,60,分蘖期,growth_stage,true
61,61,有效分蘖终止期,growth_stage,true
62,62,拔节期,growth_stage,true
63,63,幼穗分化1期,growth_stage,true
64,64,幼穗分化2期,growth_stage,true
65,65,幼穗分化4期,growth_stage,true
66,66,孕穗期,growth_stage,true
67,67,破口期,growth_stage,true
68,68,始穗期,growth_stage,true
69,69,抽穗期,growth_stage,true
70,70,齐穗期,growth_stage,true
71,71,成熟期,growth_stage,true
72,72,再生季始穗期,growth_stage,true
73,73,再生季齐穗期,growth_stage,true
74,74,再生季成熟期,growth_stage,true
75,75,湖南,provinces,true
76,76,安徽,provinces,true
77,77,化控,farmworks,true
78,78,其他农事,farmworks,true
